sample_id,rouge1_f1,rouge2_f1,rougeL_f1,faithfulness,gen_length,ref_length
700,0.5675,0.2178,0.2221,"Faithful

The summary accurately captures the key ",544,714
125,0.6208,0.276,0.2658,"Faithful

The summary accurately captures the key ",454,563
23,0.3769,0.0732,0.1244,"Faithful

The summary accurately captures the key ",506,1019
800,0.5097,0.1806,0.2024,"Faithful

The summary accurately captures the key ",480,598
582,0.5055,0.181,0.2124,"Faithful

The summary accurately captures the key ",496,730
101,0.4711,0.089,0.1742,"Faithful

The summary accurately captures the key ",519,598
115,0.4181,0.1711,0.189,"Faithful

The summary accurately captures the key ",474,1039
612,0.4928,0.1302,0.1755,"Faithful

The summary accurately captures the key ",476,640
923,0.4193,0.0906,0.1644,"Unfaithful.

Explanation: The summary contains inf",531,420
120,0.4686,0.1079,0.1777,"Faithful

The summary accurately captures the key ",528,591
47,0.5661,0.2076,0.2276,"Unfaithful.

The summary contains information not ",536,530
171,0.5648,0.217,0.2166,"Faithful

The summary accurately captures the key ",433,548
317,0.6031,0.2311,0.2452,"Faithful

The summary accurately captures the key ",546,537
324,0.4911,0.1654,0.1923,"Faithful

The summary accurately captures the key ",403,540
489,0.4989,0.1795,0.2562,"Faithful

The summary accurately captures the main",535,344
263,0.5142,0.1706,0.2352,"Faithful

The summary accurately captures the key ",532,691
145,0.4794,0.1033,0.1429,"Unfaithful.

The summary includes information abou",535,680
43,0.574,0.2102,0.2296,"Faithful

The summary accurately captures the main",547,516
679,0.535,0.1886,0.2183,"Faithful

The summary accurately captures the key ",526,651
86,0.5163,0.1975,0.2089,"Faithful

The summary accurately captures the key ",506,664
504,0.5378,0.1611,0.2335,"Faithful

The summary accurately reflects the key ",568,469
695,0.5354,0.2773,0.304,"Faithful

The summary accurately captures the key ",344,205
444,0.4931,0.1751,0.195,"Faithful

The summary accurately captures the main",475,575
560,0.5374,0.1483,0.1974,"Faithful

The summary accurately captures the key ",581,535
345,0.4248,0.1471,0.1754,"Faithful

The summary accurately captures the main",493,1209
725,0.5,0.1142,0.1754,"Verdict: Partially Faithful

Explanation: The summ",542,576
226,0.6105,0.2915,0.2469,"Faithful

The summary accurately captures the key ",560,471
887,0.5282,0.1923,0.2325,"Faithful

The summary accurately captures the key ",500,364
164,0.4718,0.1397,0.1796,"Faithful

The summary accurately captures the main",414,615
335,0.5265,0.1549,0.2016,"Faithful

The summary accurately captures the main",568,561
783,0.5357,0.1968,0.2235,"Faithful

The summary accurately captures the key ",558,672
935,0.5516,0.222,0.2318,"Faithful

The summary accurately captures the key ",503,650
424,0.5257,0.1665,0.1987,"Faithful

The summary accurately captures the key ",501,579
107,0.5022,0.157,0.1995,"Faithful

The summary accurately captures the main",558,533
832,0.5891,0.2733,0.2544,"Faithful

The summary accurately captures the key ",474,719
155,0.4617,0.1384,0.1816,"Faithful

The summary accurately captures the key ",516,550
435,0.5067,0.1284,0.174,"Faithful

The summary accurately captures the key ",521,499
280,0.4484,0.1573,0.2346,"Faithful

The summary accurately captures the key ",322,726
207,0.534,0.2367,0.2362,"Faithful

The summary accurately captures the key ",475,464
154,0.5437,0.159,0.2004,"Faithful

The summary accurately captures the key ",437,562
572,0.5235,0.1692,0.2195,"Faithful

The summary accurately captures the main",551,496
527,0.5758,0.2445,0.2549,"Faithful

The summary accurately captures the key ",423,457
958,0.3755,0.0965,0.1853,"Unfaithful.

Explanation: The summary contains inf",503,313
383,0.5652,0.1678,0.2207,"Faithful

The summary accurately captures the key ",522,514
